"Name";"DisplayName";"Status";"StartType"
"AarSvc_41eae";"Agent Activation Runtime_41eae";"Stopped";"Manual"
"AarSvc_8116dc";"Agent Activation Runtime_8116dc";"Stopped";"Manual"
"ADPSvc";"Servizio piattaforma dati aggregati";"Stopped";"Manual"
"ALG";"Servizio Gateway di livello applicazione";"Stopped";"Manual"
"AppReadiness";"Preparazione app";"Stopped";"Manual"
"AppVClient";"Microsoft App-V Client";"Stopped";"Disabled"
"ApxSvc";"Servizio proxy dispositivo audio virtuale Windows";"Stopped";"Manual"
"AssignedAccessManagerSvc";"Servizio AssignedAccessManager";"Stopped";"Manual"
"autotimesvc";"Ora cellulare";"Stopped";"Manual"
"AxInstSV";"ActiveX Installer (AxInstSV)";"Stopped";"Manual"
"BcastDVRUserService_41eae";"Servizio utente Broadcast e Game DVR_41eae";"Stopped";"Manual"
"BcastDVRUserService_8116dc";"Servizio utente Broadcast e Game DVR_8116dc";"Stopped";"Manual"
"BITS";"Servizio trasferimento intelligente in background";"Stopped";"Manual"
"BluetoothUserService_41eae";"Servizio di supporto utente Bluetooth_41eae";"Stopped";"Manual"
"BluetoothUserService_8116dc";"Servizio di supporto utente Bluetooth_8116dc";"Stopped";"Manual"
"BTAGService";"Servizio gateway audio Bluetooth";"Stopped";"Manual"
"BthAvctpSvc";"Servizio AVCTP";"Stopped";"Manual"
