"Name";"DisplayName";"Status";"StartType"
"AppIDSvc";"Identità applicazione";"Running";"Manual"
"Appinfo";"Informazioni applicazioni";"Running";"Manual"
"AppMgmt";"Gestione applicazione";"Running";"Manual"
"AppXSvc";"Servizio di distribuzione AppX (AppXSVC)";"Running";"Automatic"
"AudioEndpointBuilder";"Generatore endpoint audio Windows";"Running";"Automatic"
"Audiosrv";"Audio di Windows";"Running";"Automatic"
"BalloonService";"BalloonService";"Running";"Automatic"
"BDESVC";"Servizio di crittografia unità BitLocker";"Running";"Manual"
"BFE";"BFE (Base Filtering Engine)";"Running";"Automatic"
"BrokerInfrastructure";"Servizio infrastruttura attività in background";"Running";"Automatic"
"camsvc";"Servizio di gestione dell'accesso alle funzionalità";"Running";"Automatic"
"cbdhsvc_41eae";"Servizio utente degli Appunti_41eae";"Running";"Automatic"
"cbdhsvc_8116dc";"Servizio utente degli Appunti_8116dc";"Running";"Automatic"
"CDPSvc";"Servizio piattaforma dispositivi connessi";"Running";"Automatic"
"CDPUserSvc_41eae";"Servizio utente piattaforma dispositivi connessi_41eae";"Running";"Automatic"
"CDPUserSvc_8116dc";"Servizio utente piattaforma dispositivi connessi_8116dc";"Running";"Automatic"
"CertPropSvc";"Propagazione certificati";"Running";"Manual"
